session_index,session_id,record_type,run_order_index,phase,repetition,path,step_index,layer,layer_path,dispatch,metric,value,unit,detail
0,apple-m4-g3-ad15f5d-0,offline_preparation,,,,,,,,,elapsed_ns,54101624500,ns,sha256:cde4801ac7583d7a3186197101cdbd319e5659e47b32eda48f238353fe0841cc
0,apple-m4-g3-ad15f5d-0,startup,,,,,,,,,cold_startup_ns,23055186750,ns,
0,apple-m4-g3-ad15f5d-0,startup,,,,,,,,,tokenizer_load_ns,76330000,ns,
0,apple-m4-g3-ad15f5d-0,startup,,,,,,,,,model_load_ns,7499451416,ns,
0,apple-m4-g3-ad15f5d-0,startup,,,,,,,,,install_ns,10906655750,ns,
0,apple-m4-g3-ad15f5d-0,memory,,,,,,,,,baseline_rss_bytes,204849152,bytes,
0,apple-m4-g3-ad15f5d-0,memory,,,,,,,,,peak_rss_bytes,5237637120,bytes,
0,apple-m4-g3-ad15f5d-0,run,0,warmup,0,same_q8_reference,,,,,prefill_ns,955427125,ns,
0,apple-m4-g3-ad15f5d-0,run,0,warmup,0,same_q8_reference,,,,,time_to_first_token_ns,956082958,ns,
0,apple-m4-g3-ad15f5d-0,run,0,warmup,0,same_q8_reference,,,,,q_projection_ns,1277357415,ns,
0,apple-m4-g3-ad15f5d-0,run,0,warmup,0,same_q8_reference,,,,,native_work_ns,,ns,native boundary does not expose a separate work-only timer
0,apple-m4-g3-ad15f5d-0,run,0,warmup,0,same_q8_reference,,,,,total_ns,2501013042,ns,
0,apple-m4-g3-ad15f5d-0,cached_step,0,warmup,0,same_q8_reference,1,,,,cached_step_ns,235995417,ns,
0,apple-m4-g3-ad15f5d-0,cached_step,0,warmup,0,same_q8_reference,2,,,,cached_step_ns,222146375,ns,
0,apple-m4-g3-ad15f5d-0,cached_step,0,warmup,0,same_q8_reference,3,,,,cached_step_ns,218111375,ns,
0,apple-m4-g3-ad15f5d-0,cached_step,0,warmup,0,same_q8_reference,4,,,,cached_step_ns,218188709,ns,
0,apple-m4-g3-ad15f5d-0,cached_step,0,warmup,0,same_q8_reference,5,,,,cached_step_ns,218303083,ns,
0,apple-m4-g3-ad15f5d-0,cached_step,0,warmup,0,same_q8_reference,6,,,,cached_step_ns,215655917,ns,
0,apple-m4-g3-ad15f5d-0,cached_step,0,warmup,0,same_q8_reference,7,,,,cached_step_ns,216518208,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,0,model.layers.0.self_attn.q_proj,fallback,dispatch_ns,11906458,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,1,model.layers.1.self_attn.q_proj,fallback,dispatch_ns,8166208,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,2,model.layers.2.self_attn.q_proj,fallback,dispatch_ns,7332167,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,3,model.layers.3.self_attn.q_proj,fallback,dispatch_ns,8302583,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,4,model.layers.4.self_attn.q_proj,fallback,dispatch_ns,7731458,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,5,model.layers.5.self_attn.q_proj,fallback,dispatch_ns,7944792,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,6,model.layers.6.self_attn.q_proj,fallback,dispatch_ns,7400541,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,7,model.layers.7.self_attn.q_proj,fallback,dispatch_ns,8515750,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,8,model.layers.8.self_attn.q_proj,fallback,dispatch_ns,7572083,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,9,model.layers.9.self_attn.q_proj,fallback,dispatch_ns,7561292,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,10,model.layers.10.self_attn.q_proj,fallback,dispatch_ns,7748583,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,11,model.layers.11.self_attn.q_proj,fallback,dispatch_ns,8192958,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,12,model.layers.12.self_attn.q_proj,fallback,dispatch_ns,8206917,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,13,model.layers.13.self_attn.q_proj,fallback,dispatch_ns,8189500,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,14,model.layers.14.self_attn.q_proj,fallback,dispatch_ns,8088917,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,15,model.layers.15.self_attn.q_proj,fallback,dispatch_ns,7506000,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,16,model.layers.16.self_attn.q_proj,fallback,dispatch_ns,7933792,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,17,model.layers.17.self_attn.q_proj,fallback,dispatch_ns,8109083,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,18,model.layers.18.self_attn.q_proj,fallback,dispatch_ns,7907625,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,19,model.layers.19.self_attn.q_proj,fallback,dispatch_ns,7607083,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,20,model.layers.20.self_attn.q_proj,fallback,dispatch_ns,8161958,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,0,21,model.layers.21.self_attn.q_proj,fallback,dispatch_ns,8021292,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,1,0,model.layers.0.self_attn.q_proj,fallback,dispatch_ns,7628625,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,1,1,model.layers.1.self_attn.q_proj,fallback,dispatch_ns,7284209,ns,
0,apple-m4-g3-ad15f5d-0,q_projection_dispatch,0,warmup,0,same_q8_reference,1,2,model.layers.2.self_attn.q_proj,fallback,dispatch_ns,7341917,ns,
